,,,,,,,,,,,,,,,,,,,,,,,,,,
灵巧手模块通信协议指令集（每个模块最多有8个独立ID，对应最多8个电机）CANFD 1M +5M,,,,,,,,,,,,,,,,,,编制,张礼富,,,,,,,
,,,,,,,,,,,,,,,,,,审核,,,,,,,,
,,,,,,,,,,,,,,,,,,单位,睿研智能,,,,,,,
"注：
1，所有多字节数据均按小端（低地址放低字节，高地址放高字节，对应通信表现是先发低字节，后发高字节）格式传输。
2，该协议为基础协议，有些设备对其中部分功能如若不支持，需单独出具对应支持协议，对于特殊功能指令可在非标功能组自行定义
3，设备ID范围是 1~254，0为广播ID，255为无效ID, 设备的应答ID为本身ID+256, 

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,主控制器发送,,,,,,,,,,设备应答,,,,,,,,,"支持
情况
ûü",参数属性,,,更新日志,
,,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,...,,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,...,,,,,1、初版协议 2023.07.05,
,指令名称,指令码,参数1,参数2,参数3,参数4,参数5,参数6,参数7,...,,返回码,参数1,参数2,参数3,参数4,参数5,参数6,参数7,...,,,,,2、审核：2023.07.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"物殊设备
非标功能组
单电机控制指令
(0xa0-0xdf)
长度小于8字节",读取电机信息,0xa0,,,,,,,,,,0xa0,电机信息（结构体）,,,,,,,,ü,以第1个电机的ID进行发送，每个电机8字节数据,,,,
,单电机运动指令,0xa1,电机1目标位置,,电机1到达目标位置速度,,,,,,,0xa1,电机信息（结构体）,,,,,,,,ü,,,,,
,读取电机位置刚度,0xa2,,,,,,,,,,0xa2,刚度值,,,,,,,,ü,掉电存储,,,,
,设置电机位置刚度,0xa3,刚度值,,,,,,,,,0xa3,结果反馈,,,,,,,,ü,掉电存储,,,,
,设置关节位置,0xa4,位置,,,,,,,,,0xa4,结果反馈, 内部位置补偿值,,,,,,,ü,掉电存储,,,,
,清除故障,0xa5,,,,,,,,,,0xa5,结果反馈,,,,,,,,ü,掉电存储,,,,
,恒PWM运动,0xa6,电机1PWM,,,,,,,,,0xa6,电机信息（结构体）,,,,,,,,,,,,,
,读取保护配置,0xa7,,,,,,,,,,0xa7,结果反馈,保护配置,,,,,,,,,,,,
,设置保护配置,0xa8,保护配置,,,,,,,,,0xa8,结果反馈,保护配置,,,,,,,,,,,,
,电流控制,0xa9,电机1目标电流,,,,,,,,,0xa9,电机信息（结构体）,,,,,,,,,,,,,
,位置电流混合控制,0xaa,电机1目标位置,,电机1到达目标位置速度,,电机1过程最大电流值 ,,,,,0xaa,电机信息（结构体）,,,,,,,,,,,,,
,读取电机行程,0xab,,,,,,,,,,0xab,电机原始位置传感器/编码器行程值,,,,,,,,ü,掉电存储,,,,
,设置电机行程,0xac,电机原始位置传感器/编码器行程值,,,,,,,,,0xac,结果反馈,,,,,,,,ü,掉电存储,,,,
,读取电机行程上限,0xae,,,,,,,,,,0xae,电机原始位置传感器/编码器行程值上限,,,,,,,,ü,掉电存储,,,,
,设置电机行程上限,0xaf,电机原始位置传感器/编码器行程上限,,,,,,,,,0xaf,结果反馈,,,,,,,,ü,掉电存储,,,,
,读取电机行程下限,0xb0,,,,,,,,,,0xb0,电机原始位置传感器/编码器行程值下限,,,,,,,,ü,掉电存储,,,,
,设置电机行程下限,0xb1,电机原始位置传感器/编码器行程下限,,,,,,,,,0xb1,结果反馈,,,,,,,,ü,掉电存储,,,,
,读取触觉标定系数,0xb2,系数索引,,,,,,,,,0xb2,系数索引,系数（float）,,,,,,,,,,,,
,设置触觉标定系数,0xb3,系数索引,系数（float）,,,,,,,,0xb3,结果反馈,,,,,,,,ü,掉电存储,,,,
,设置触觉数据显示模式,0xb4,模式,,,,,,,,,0xb4,结果反馈,,,,,,,,,,,,,
,清零触觉数值,0xb5,,,,,,,,,,0xb5,结果反馈,,,,,,,,,,,,,
,读触觉数据,0xb6,帧号(n),,,,,,,,,0xb6,帧号(n),v[6*n+0],v[6*n+1],v[6*n+2],v[6*n+3],v[6*n+4],v[6*n+5],,,,,,,
,设置RS485协议模式,0xb7,模式,,,,,,,,,0xb7,结果反馈,,,,,,,,ü,掉电存储,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"多电机控制指令
(0xa0-0xdf)
长度为8*电机数字节。
 发送和返回的每8个字节对应一个电机",多电机控制指令格式,0xax,电机1控制数据（最长7字节）,,,,,,,第2~8电机数据,,0xax,电机1返回数据（最长7字节）,,,,,,,第2~8电机数据,ü,以第1个电机的ID进行发送，每个电机8字节数据，一般用于状态控制,,,,
,多电机控制指令示例1,0xa0,,,,,,,,第2~8电机数据,,0xa0,电机信息（结构体）,,,,,,,第2~8电机数据,ü,以第1个电机的ID进行发送，每个电机8字节数据,,,,
,多电机控制指令示例2,0xa1,电机1目标位置,,电机1到达目标位置速度,,,,,第2~8电机数据,,0xa1,电机信息（结构体）,,,,,,,第2~8电机数据,ü,以第1个电机的ID进行发送，每个电机8字节数据,,,,
,多电机控制指令示例xxxx,0xax,xx,xx,xx,xx,xx,xx,xx,第2~8电机数据,,0xaxx,xx,xx,xx,xx,xx,xx,xx,第2~8电机数据,ü,以第1个电机的ID进行发送，每个电机8字节数据,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
